TEAM,POSTSEASON,YEAR
Kentucky,Round_Of_2,1
Connecticut,Round_Of_1,1
Arizona,Round_Of_8,1
Michigan,Round_Of_8,1
Michigan St.,Round_Of_8,1
Dayton,Round_Of_8,1
Florida,Round_Of_4,1
Wisconsin,Round_Of_4,1
Wichita St.,Round_Of_32,1
Kansas,Round_Of_32,1
Villanova,Round_Of_32,1
Creighton,Round_Of_32,1
Syracuse,Round_Of_32,1
Saint Louis,Round_Of_32,1
North Carolina,Round_Of_32,1
Oregon,Round_Of_32,1
Texas,Round_Of_32,1
Gonzaga,Round_Of_32,1
Memphis,Round_Of_32,1
Pittsburgh,Round_Of_32,1
Harvard,Round_Of_32,1
North Dakota St.,Round_Of_32,1
Stephen F. Austin,Round_Of_32,1
Mercer,Round_Of_32,1
Duke,Round_Of_64,1
Cincinnati,Round_Of_64,1
Oklahoma,Round_Of_64,1
VCU,Round_Of_64,1
Massachusetts,Round_Of_64,1
Ohio St.,Round_Of_64,1
New Mexico,Round_Of_64,1
Colorado,Round_Of_64,1
Kansas St.,Round_Of_64,1
Oklahoma St.,Round_Of_64,1
Arizona St.,Round_Of_64,1
BYU,Round_Of_64,1
Saint Joseph's,Round_Of_64,1
George Washington,Round_Of_64,1
Nebraska,Round_Of_64,1
Providence,Round_Of_64,1
North Carolina St.,Round_Of_64,1
Delaware,Round_Of_64,1
Manhattan,Round_Of_64,1
New Mexico St.,Round_Of_64,1
Tulsa,Round_Of_64,1
Louisiana Lafayette,Round_Of_64,1
North Carolina Central,Round_Of_64,1
Western Michigan,Round_Of_64,1
American,Round_Of_64,1
Eastern Kentucky,Round_Of_64,1
Milwaukee,Round_Of_64,1
Wofford,Round_Of_64,1
Albany,Round_Of_64,1
Cal Poly,Round_Of_64,1
Coastal Carolina,Round_Of_64,1
Weber St.,Round_Of_64,1
Iowa,Round_Of_68,1
Xavier,Round_Of_68,1
Mount St. Mary's,Round_Of_68,1
Texas Southern,Round_Of_68,1
Virginia,Round_Of_16,1
Iowa St.,Round_Of_16,1
Louisville,Round_Of_16,1
San Diego St.,Round_Of_16,1
UCLA,Round_Of_16,1
Baylor,Round_Of_16,1
Stanford,Round_Of_16,1
Tennessee,Round_Of_16,1
