,Stat Label
0,g
1,mp_per_g
2,fg_per_g
3,fga_per_g
4,fg_pct
5,fg2_per_g
6,fg2a_per_g
7,fg2_pct
8,fg3_per_g
9,fg3a_per_g
10,fg3_pct
11,ft_per_g
12,fta_per_g
13,ft_pct
14,orb_per_g
15,drb_per_g
16,trb_per_g
17,ast_per_g
18,stl_per_g
19,blk_per_g
20,tov_per_g
21,pf_per_g
22,pts_per_g
23,g_rank
24,mp_per_g_rank
25,fg_per_g_rank
26,fga_per_g_rank
27,fg_pct_rank
28,fg2_per_g_rank
29,fg2a_per_g_rank
30,fg2_pct_rank
31,fg3_per_g_rank
32,fg3a_per_g_rank
33,fg3_pct_rank
34,ft_per_g_rank
35,fta_per_g_rank
36,ft_pct_rank
37,orb_per_g_rank
38,drb_per_g_rank
39,trb_per_g_rank
40,ast_per_g_rank
41,stl_per_g_rank
42,blk_per_g_rank
43,tov_per_g_rank
44,pf_per_g_rank
45,pts_per_g_rank
46,opp_g
47,opp_mp_per_g
48,opp_fg_per_g
49,opp_fga_per_g
50,opp_fg_pct
51,opp_fg2_per_g
52,opp_fg2a_per_g
53,opp_fg2_pct
54,opp_fg3_per_g
55,opp_fg3a_per_g
56,opp_fg3_pct
57,opp_ft_per_g
58,opp_fta_per_g
59,opp_ft_pct
60,opp_orb_per_g
61,opp_drb_per_g
62,opp_trb_per_g
63,opp_ast_per_g
64,opp_stl_per_g
65,opp_blk_per_g
66,opp_tov_per_g
67,opp_pf_per_g
68,opp_pts_per_g
69,opp_g_rank
70,opp_mp_per_g_rank
71,opp_fg_per_g_rank
72,opp_fga_per_g_rank
73,opp_fg_pct_rank
74,opp_fg2_per_g_rank
75,opp_fg2a_per_g_rank
76,opp_fg2_pct_rank
77,opp_fg3_per_g_rank
78,opp_fg3a_per_g_rank
79,opp_fg3_pct_rank
80,opp_ft_per_g_rank
81,opp_fta_per_g_rank
82,opp_ft_pct_rank
83,opp_orb_per_g_rank
84,opp_drb_per_g_rank
85,opp_trb_per_g_rank
86,opp_ast_per_g_rank
87,opp_stl_per_g_rank
88,opp_blk_per_g_rank
89,opp_tov_per_g_rank
90,opp_pf_per_g_rank
91,opp_pts_per_g_rank
