Teams,2P%,3P%,FT%,ORB/G,DRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,Ranking
Alabama Crimson Tide,.513,.289,.711,10.666666666666666,21.636363636363637,12.181818181818182,7.242424242424242,4.151515151515151,12.818181818181818,18.393939393939394,1
Baylor Bears,.506,.383,.754,12.368421052631579,21.31578947368421,15.0,7.526315789473684,4.684210526315789,13.736842105263158,17.736842105263158,4
Belmont Bruins,.551,.378,.734,11.457142857142857,21.428571428571427,17.314285714285713,7.285714285714286,2.2285714285714286,12.285714285714286,18.02857142857143,1
BYU Cougars,.524,.343,.700,10.885714285714286,24.057142857142857,17.114285714285714,8.457142857142857,4.4,13.514285714285714,18.2,1
California Golden Bears,.509,.363,.744,10.029411764705882,22.176470588235293,15.882352941176471,4.676470588235294,3.1176470588235294,12.088235294117647,14.382352941176471,0.5
Cincinnati Bearcats,.464,.341,.644,13.216216216216216,19.89189189189189,12.945945945945946,8.054054054054054,4.594594594594595,10.891891891891891,15.405405405405405,3
Colorado Buffaloes,.488,.348,.691,9.75,23.36111111111111,11.722222222222221,5.833333333333333,3.25,13.0,17.055555555555557,2
Colorado State Rams,.501,.400,.768,8.3125,21.03125,12.15625,5.375,1.875,12.75,18.9375,1
Creighton Bluejays,.547,.424,.726,9.428571428571429,23.8,17.6,4.828571428571428,2.342857142857143,12.028571428571428,16.914285714285715,2
Davidson Wildcats,.516,.336,.763,12.575757575757576,22.78787878787879,13.787878787878787,5.575757575757576,3.515151515151515,11.757575757575758,20.393939393939394,1
Detroit Titans,.507,.298,.730,12.055555555555555,19.166666666666668,12.86111111111111,7.555555555555555,4.583333333333333,12.5,19.0,1
Duke Blue Devils,.510,.371,.701,11.941176470588236,21.941176470588236,12.441176470588236,6.176470588235294,4.0,12.205882352941176,18.41176470588235,1
Florida Gators,.530,.380,.713,11.243243243243244,20.64864864864865,14.891891891891891,6.297297297297297,3.3513513513513513,11.08108108108108,15.54054054054054,4
Florida State Seminoles,.504,.354,.707,11.371428571428572,22.02857142857143,12.2,7.571428571428571,6.085714285714285,15.714285714285714,18.65714285714286,2
Georgetown Hoyas,.518,.347,.698,11.121212121212121,22.454545454545453,13.666666666666666,6.0606060606060606,4.7272727272727275,12.636363636363637,17.515151515151516,2
Gonzaga Bulldogs,.518,.379,.716,10.878787878787879,22.303030303030305,13.787878787878787,6.757575757575758,3.1818181818181817,13.121212121212121,15.575757575757576,2
Harvard Crimson,.525,.357,.747,8.451612903225806,21.322580645161292,12.935483870967742,5.935483870967742,4.419354838709677,12.225806451612904,15.258064516129032,1
Indiana Hoosiers,.515,.431,.763,10.63888888888889,20.75,13.527777777777779,6.472222222222222,3.1944444444444446,12.86111111111111,17.555555555555557,3
Iona Gaels,.557,.387,.713,10.696969696969697,20.87878787878788,19.333333333333332,7.303030303030303,2.1515151515151514,12.545454545454545,16.939393939393938,0.5
Iowa State Cyclones,.503,.373,.688,10.911764705882353,23.58823529411765,14.235294117647058,5.764705882352941,2.823529411764706,12.323529411764707,16.08823529411765,2
Kansas Jayhawks,.525,.345,.692,11.512820512820513,23.564102564102566,15.051282051282051,7.3076923076923075,5.6923076923076925,12.974358974358974,17.384615384615383,6
Kansas State Wildcats,.483,.335,.671,14.272727272727273,19.939393939393938,14.181818181818182,6.0606060606060606,4.7272727272727275,14.363636363636363,20.060606060606062,2
Kentucky Wildcats,.527,.378,.723,11.8,24.325,13.275,6.05,8.6,11.125,14.825,7
Lamar Cardinals,.459,.337,.720,14.2,22.6,12.8,8.085714285714285,4.4,11.942857142857143,17.257142857142856,0.5
Lehigh Mountain Hawks,.497,.350,.768,11.028571428571428,20.514285714285716,13.028571428571428,7.685714285714286,3.0285714285714285,11.17142857142857,17.97142857142857,2
LIU-Brooklyn Blackbirds,.521,.371,.730,11.647058823529411,22.676470588235293,14.705882352941176,6.0588235294117645,3.323529411764706,16.058823529411764,15.617647058823529,1
Long Beach State 49ers,.522,.358,.670,11.5,22.058823529411764,14.0,7.117647058823529,2.7058823529411766,12.941176470588236,15.5,1
Louisville Cardinals,.472,.318,.688,12.95,22.625,13.3,8.825,4.825,14.05,17.65,5
Loyola (MD) Greyhounds,.458,.339,.719,13.030303030303031,18.606060606060606,11.909090909090908,7.7272727272727275,4.454545454545454,13.424242424242424,19.03030303030303,1
Marquette Golden Eagles,.500,.337,.721,11.82857142857143,21.0,16.571428571428573,8.685714285714285,3.4857142857142858,13.17142857142857,17.714285714285715,3
Memphis Tigers,.539,.362,.717,9.485714285714286,21.742857142857144,14.428571428571429,7.942857142857143,5.6,12.685714285714285,19.0,1
Michigan State Spartans,.522,.360,.700,11.35135135135135,23.83783783783784,15.297297297297296,7.162162162162162,4.243243243243243,12.81081081081081,17.56756756756757,3
Michigan Wolverines,.538,.350,.722,8.558823529411764,19.88235294117647,12.676470588235293,4.9411764705882355,2.1176470588235294,10.882352941176471,15.588235294117647,1
Mississippi Valley State Delta Devils,.449,.324,.644,13.529411764705882,20.470588235294116,13.264705882352942,8.823529411764707,2.5588235294117645,15.029411764705882,20.529411764705884,0.5
Missouri Tigers,.570,.398,.766,9.114285714285714,20.17142857142857,16.17142857142857,8.142857142857142,2.7714285714285714,10.228571428571428,14.257142857142858,1
Montana Grizzlies,.503,.372,.717,8.9375,20.71875,13.625,7.15625,3.59375,12.53125,18.28125,1
Murray State Racers,.507,.396,.724,10.909090909090908,19.96969696969697,12.666666666666666,8.363636363636363,4.212121212121212,13.878787878787879,17.939393939393938,2
NC State Wolfpack,.494,.355,.704,12.324324324324325,22.2972972972973,15.594594594594595,6.72972972972973,4.054054054054054,12.702702702702704,16.83783783783784,3
New Mexico Lobos,.510,.378,.707,11.285714285714286,23.457142857142856,16.37142857142857,6.857142857142857,3.342857142857143,13.342857142857143,17.4,2
New Mexico State Aggies,.523,.327,.668,14.38888888888889,23.166666666666668,13.833333333333334,6.777777777777778,4.277777777777778,14.805555555555555,17.5,1
Norfolk State Spartans,.501,.312,.656,11.694444444444445,21.25,11.972222222222221,6.666666666666667,4.694444444444445,14.972222222222221,19.5,2
UNC Tar Heels,.497,.334,.682,15.0,26.894736842105264,17.342105263157894,6.815789473684211,5.7631578947368425,11.763157894736842,14.5,4
Notre Dame Fighting Irish,.493,.332,.704,10.147058823529411,20.735294117647058,14.617647058823529,5.205882352941177,3.3529411764705883,10.058823529411764,13.823529411764707,1
Ohio Bobcats,.480,.344,.690,12.18918918918919,18.513513513513512,13.18918918918919,9.378378378378379,2.7837837837837838,13.0,19.54054054054054,3
Ohio State Buckeyes,.529,.334,.709,11.461538461538462,23.025641025641026,14.564102564102564,7.205128205128205,3.2051282051282053,11.512820512820513,16.153846153846153,5
Purdue Boilermakers,.478,.377,.656,11.17142857142857,18.514285714285716,13.428571428571429,6.457142857142857,3.142857142857143,8.742857142857142,17.714285714285715,2
Saint Louis Billikens,.501,.359,.720,10.176470588235293,19.058823529411764,13.5,6.9411764705882355,2.911764705882353,11.235294117647058,16.735294117647058,2
Saint Mary's Gaels,.557,.344,.729,11.454545454545455,23.454545454545453,15.757575757575758,6.878787878787879,3.090909090909091,11.606060606060606,15.969696969696969,1
