Teams,2P%,3P%,FT%,ORB/G,DRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,i1-2P%,i1-FT%,i1-PTS,i1-AST,i1-TOV,i2-2P%,i2-FT%,i2-PTS,i2-AST,i2-TOV,i3-2P%,i3-FT%,i3-PTS,i3-AST,i3-TOV,Ranking
American Eagles,.462,.408,.739,9.727272727272727,22.515151515151516,11.818181818181818,4.606060606060606,2.6363636363636362,13.878787878787879,17.78787878787879,.369,.892,18.4,1.7,2.2,.413,.624,12.3,4.0,2.9,.594,.784,8.9,1.8,1.4,1
Arizona Wildcats,.519,.390,.749,8.264705882352942,22.676470588235293,15.470588235294118,5.5588235294117645,3.5294117647058822,12.176470588235293,16.352941176470587,.489,.839,19.7,4.0,3.0,.494,.718,17.1,2.9,2.4,.620,.683,13.2,0.8,2.1,1
Arkansas Razorbacks,.523,.341,.678,12.742857142857142,23.65714285714286,14.428571428571429,6.885714285714286,5.2,15.17142857142857,18.914285714285715,.513,.803,15.0,2.6,2.8,.449,.644,12.1,2.4,2.0,.602,.627,12.1,0.9,1.3,2
Austin Peay Governors,.484,.382,.714,10.342857142857143,21.285714285714285,14.314285714285715,9.571428571428571,2.142857142857143,12.571428571428571,17.6,.467,.711,14.4,2.0,2.9,.649,.676,11.5,1.4,1.1,.455,.791,11.4,4.7,2.1,1
Baylor Bears,.498,.378,.743,12.0,25.375,12.125,7.40625,4.3125,12.59375,20.78125,.495,.750,15.3,3.8,2.1,.509,.837,13.6,0.8,1.5,.519,.771,12.3,0.7,1.7,1
Belmont Bruins,.529,.365,.698,12.470588235294118,24.235294117647058,17.264705882352942,8.529411764705882,1.911764705882353,14.647058823529411,18.41176470588235,.465,.918,14.7,2.8,2.0,.582,.667,13.4,0.9,1.3,.551,.789,11.4,1.8,1.2,1
Boise State Broncos,.571,.393,.661,9.852941176470589,25.970588235294116,17.794117647058822,6.323529411764706,2.3529411764705883,15.705882352941176,17.38235294117647,.561,.638,19.4,1.8,2.6,.650,.624,15.7,2.1,2.2,.590,.748,13.9,3.1,2.5,1
Butler Bulldogs,.513,.380,.737,9.058823529411764,20.823529411764707,13.088235294117647,6.5,2.4411764705882355,10.352941176470589,17.294117647058822,.454,.758,14.6,5.1,2.9,.465,.889,13.6,2.2,1.6,.583,.780,12.3,0.9,1.4,2
BYU Cougars,.515,.373,.655,10.428571428571429,28.17142857142857,16.771428571428572,5.914285714285715,3.857142857142857,14.057142857142857,17.65714285714286,.624,.857,15.8,3.5,2.3,.542,.542,15.6,1.5,2.4,.419,.867,13.1,1.5,1.7,1
Clemson Tigers,.498,.372,.623,15.764705882352942,22.61764705882353,15.735294117647058,9.823529411764707,5.4411764705882355,14.852941176470589,19.529411764705884,.470,.677,14.7,1.8,1.1,.559,.459,11.4,3.9,1.8,.568,.573,11.0,1.5,2.0,1
