Teams,2P%,3P%,FT%,ORB/G,DRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,Ranking
Akron Zips,.474,.332,.708,11.777777777777779,21.52777777777778,12.38888888888889,7.5,2.2222222222222223,13.61111111111111,20.694444444444443,1
Alabama State Hornets,.528,.329,.634,11.1875,24.125,13.90625,5.6875,4.78125,13.59375,17.4375,0.5
American Eagles,.522,.374,.648,9.4375,23.25,13.15625,5.5,2.46875,13.1875,18.15625,1
Arizona State Sun Devils,.571,.370,.737,8.228571428571428,22.771428571428572,15.542857142857143,5.742857142857143,2.057142857142857,11.457142857142857,15.914285714285715,2
Arizona Wildcats,.510,.387,.738,11.057142857142857,22.742857142857144,14.285714285714286,6.2,2.9714285714285715,12.628571428571428,15.657142857142857,3
Binghamton Bearcats,.493,.334,.670,11.15625,23.25,11.96875,7.09375,4.1875,13.46875,20.375,1
Boston College Eagles,.494,.334,.738,14.264705882352942,22.764705882352942,14.794117647058824,6.117647058823529,4.323529411764706,13.441176470588236,18.058823529411764,1
Butler Bulldogs,.510,.352,.724,10.25,23.9375,13.03125,6.03125,3.1875,12.5,17.75,1
BYU Cougars,.535,.381,.729,9.151515151515152,27.09090909090909,16.272727272727273,7.303030303030303,3.606060606060606,11.363636363636363,18.393939393939394,1
California Golden Bears,.503,.427,.755,10.090909090909092,23.636363636363637,15.424242424242424,4.818181818181818,2.0,12.090909090909092,16.96969696969697,1
Chattanooga Mocs,.498,.352,.657,12.514285714285714,26.742857142857144,13.628571428571428,6.228571428571429,2.257142857142857,15.742857142857142,18.514285714285716,1
Clemson Tigers,.510,.374,.688,14.4375,22.71875,14.9375,9.3125,5.84375,14.25,17.96875,1
Cleveland State Vikings,.479,.311,.701,11.91891891891892,22.324324324324323,13.837837837837839,8.64864864864865,3.189189189189189,12.27027027027027,18.37837837837838,2
Cornell Big Red,.505,.411,.730,10.35483870967742,25.29032258064516,15.548387096774194,6.548387096774194,3.903225806451613,12.838709677419354,17.93548387096774,1
Dayton Flyers,.460,.328,.648,13.82857142857143,24.114285714285714,13.857142857142858,6.485714285714286,3.5428571428571427,13.571428571428571,19.2,2
Duke Blue Devils,.496,.349,.728,13.243243243243244,23.18918918918919,13.297297297297296,8.405405405405405,3.945945945945946,12.27027027027027,18.135135135135137,3
Duquesne Dukes,.550,.359,.696,11.029411764705882,22.352941176470587,16.58823529411765,7.5588235294117645,3.411764705882353,13.676470588235293,17.470588235294116,2
Florida State Seminoles,.481,.342,.725,11.4,24.4,12.085714285714285,8.114285714285714,5.771428571428571,15.657142857142857,18.771428571428572,1
Gonzaga Bulldogs,.535,.390,.717,10.147058823529411,27.38235294117647,15.058823529411764,7.235294117647059,5.117647058823529,11.352941176470589,16.205882352941178,3
Illinois Fighting Illini,.505,.350,.711,9.411764705882353,23.735294117647058,17.5,5.852941176470588,3.588235294117647,12.352941176470589,15.323529411764707,1
