Teams,2P%,3P%,FT%,ORB/G,DRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,Ranking
American Eagles,.462,.408,.739,9.727272727272727,22.515151515151516,11.818181818181818,4.606060606060606,2.6363636363636362,13.878787878787879,17.78787878787879,1
Arizona Wildcats,.519,.390,.749,8.264705882352942,22.676470588235293,15.470588235294118,5.5588235294117645,3.5294117647058822,12.176470588235293,16.352941176470587,1
Arkansas Razorbacks,.523,.341,.678,12.742857142857142,23.65714285714286,14.428571428571429,6.885714285714286,5.2,15.17142857142857,18.914285714285715,2
Austin Peay Governors,.484,.382,.714,10.342857142857143,21.285714285714285,14.314285714285715,9.571428571428571,2.142857142857143,12.571428571428571,17.6,1
Baylor Bears,.498,.378,.743,12.0,25.375,12.125,7.40625,4.3125,12.59375,20.78125,1
Belmont Bruins,.529,.365,.698,12.470588235294118,24.235294117647058,17.264705882352942,8.529411764705882,1.911764705882353,14.647058823529411,18.41176470588235,1
Boise State Broncos,.571,.393,.661,9.852941176470589,25.970588235294116,17.794117647058822,6.323529411764706,2.3529411764705883,15.705882352941176,17.38235294117647,1
Butler Bulldogs,.513,.380,.737,9.058823529411764,20.823529411764707,13.088235294117647,6.5,2.4411764705882355,10.352941176470589,17.294117647058822,2
BYU Cougars,.515,.373,.655,10.428571428571429,28.17142857142857,16.771428571428572,5.914285714285715,3.857142857142857,14.057142857142857,17.65714285714286,1
Clemson Tigers,.498,.372,.623,15.764705882352942,22.61764705882353,15.735294117647058,9.823529411764707,5.4411764705882355,14.852941176470589,19.529411764705884,1
Coppin State Eagles,.426,.315,.714,11.054054054054054,20.243243243243242,9.378378378378379,7.054054054054054,2.108108108108108,14.567567567567568,18.72972972972973,0.5
Cornell Big Red,.528,.409,.761,9.214285714285714,24.321428571428573,15.25,6.071428571428571,3.142857142857143,13.607142857142858,18.214285714285715,1
Davidson Wildcats,.542,.364,.717,11.583333333333334,24.583333333333332,17.083333333333332,8.055555555555555,3.1666666666666665,11.833333333333334,18.166666666666668,4
Drake Bulldogs,.512,.369,.759,12.090909090909092,22.09090909090909,14.696969696969697,7.636363636363637,2.5757575757575757,11.818181818181818,14.909090909090908,1
Duke Blue Devils,.517,.377,.697,12.529411764705882,24.38235294117647,14.617647058823529,8.676470588235293,3.911764705882353,13.588235294117647,19.235294117647058,2
George Mason Patriots,.524,.347,.703,10.0,24.41176470588235,13.088235294117647,5.5588235294117645,3.176470588235294,11.941176470588236,15.441176470588236,1
Georgetown Hoyas,.562,.384,.654,9.852941176470589,25.147058823529413,15.5,6.9411764705882355,4.794117647058823,13.470588235294118,17.647058823529413,2
