Teams,2P%,3P%,FT%,ORB/G,DRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,i1-2P%,i1-FT%,i1-PTS,i1-AST,i1-TOV,i2-2P%,i2-FT%,i2-PTS,i2-AST,i2-TOV,i3-2P%,i3-FT%,i3-PTS,i3-AST,i3-TOV,Ranking
Akron Zips,.526,.332,.643,12.878787878787879,21.818181818181817,14.696969696969697,7.0,5.7272727272727275,13.878787878787879,17.484848484848484,.651,.642,13.0,0.8,1.4,.510,.500,11.5,1.6,2.2,.424,.810,10.3,6.0,2.9,1
Albany (NY) Great Danes,.467,.370,.737,9.857142857142858,19.34285714285714,11.257142857142858,5.485714285714286,2.0285714285714285,13.371428571428572,16.114285714285714,.411,.763,14.8,2.4,2.9,.420,.854,12.2,1.7,1.3,.529,.735,9.0,1.1,2.1,1
Arizona Wildcats,.506,.371,.749,11.228571428571428,22.257142857142856,13.6,6.685714285714286,3.8285714285714287,13.085714285714285,16.685714285714287,.534,.856,15.6,2.8,2.7,.508,.766,13.4,2.7,2.2,.477,.713,11.5,3.2,1.9,3
Belmont Bruins,.562,.383,.732,9.272727272727273,20.0,15.636363636363637,9.757575757575758,2.6666666666666665,13.333333333333334,18.303030303030305,.646,.833,18.2,2.4,2.7,.498,.777,14.0,4.8,3.2,.520,.681,12.1,0.6,1.2,1
Boise State Broncos,.499,.391,.747,10.09375,20.78125,13.21875,6.625,1.6875,12.03125,18.71875,.538,.777,17.7,2.3,2.1,.473,.837,16.3,3.9,3.4,.429,.700,10.2,2.2,0.7,0.5
Bucknell Bison,.483,.358,.742,9.058823529411764,24.529411764705884,13.382352941176471,3.4705882352941178,4.088235294117647,9.441176470588236,14.647058823529411,.519,.789,18.7,2.3,1.7,.515,.766,12.4,2.0,1.0,.398,.821,11.1,2.3,1.1,1
Butler Bulldogs,.507,.347,.696,11.63888888888889,22.055555555555557,12.916666666666666,5.722222222222222,2.611111111111111,13.166666666666666,17.88888888888889,.420,.895,16.9,2.7,2.8,.551,.718,11.3,1.4,1.2,.486,.552,10.1,3.5,2.9,2
California Golden Bears,.488,.302,.715,10.93939393939394,23.424242424242426,14.181818181818182,5.818181818181818,4.666666666666667,12.636363636363637,16.636363636363637,.532,.813,18.4,2.6,2.5,.480,.841,15.1,4.8,2.9,.482,.650,8.9,0.6,1.6,2
Cincinnati Bearcats,.455,.316,.647,14.352941176470589,21.5,12.205882352941176,7.0588235294117645,6.117647058823529,12.705882352941176,17.794117647058822,.507,.738,17.0,1.9,2.0,.441,.802,12.7,3.2,1.8,.414,.542,10.9,1.6,1.6,1
Colorado Buffaloes,.470,.344,.686,11.454545454545455,22.727272727272727,9.93939393939394,6.96969696969697,3.1818181818181817,13.303030303030303,15.909090909090908,.477,.825,15.3,3.0,2.2,.395,.704,12.4,2.2,2.1,.521,.551,10.9,1.4,2.4,1
Colorado State Rams,.491,.338,.715,14.085714285714285,22.97142857142857,12.714285714285714,4.628571428571429,2.1142857142857143,11.114285714285714,17.142857142857142,.596,.590,14.2,1.3,2.0,.461,.783,13.0,3.6,1.8,.392,.897,12.6,2.1,1.7,2
Creighton Bluejays,.557,.414,.759,8.333333333333334,24.22222222222222,16.916666666666668,4.833333333333333,2.5555555555555554,12.305555555555555,16.333333333333332,.573,.875,23.2,1.6,2.6,.657,.646,9.7,0.4,1.3,.575,.756,8.5,5.8,2.2,2
