Teams,2P%,3P%,FT%,ORB/G,DRB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,Ranking
Akron Zips,.526,.332,.643,12.878787878787879,21.818181818181817,14.696969696969697,7.0,5.7272727272727275,13.878787878787879,17.484848484848484,1
Albany (NY) Great Danes,.467,.370,.737,9.857142857142858,19.34285714285714,11.257142857142858,5.485714285714286,2.0285714285714285,13.371428571428572,16.114285714285714,1
Arizona Wildcats,.506,.371,.749,11.228571428571428,22.257142857142856,13.6,6.685714285714286,3.8285714285714287,13.085714285714285,16.685714285714287,3
Belmont Bruins,.562,.383,.732,9.272727272727273,20.0,15.636363636363637,9.757575757575758,2.6666666666666665,13.333333333333334,18.303030303030305,1
Boise State Broncos,.499,.391,.747,10.09375,20.78125,13.21875,6.625,1.6875,12.03125,18.71875,0.5
Bucknell Bison,.483,.358,.742,9.058823529411764,24.529411764705884,13.382352941176471,3.4705882352941178,4.088235294117647,9.441176470588236,14.647058823529411,1
Butler Bulldogs,.507,.347,.696,11.63888888888889,22.055555555555557,12.916666666666666,5.722222222222222,2.611111111111111,13.166666666666666,17.88888888888889,2
California Golden Bears,.488,.302,.715,10.93939393939394,23.424242424242426,14.181818181818182,5.818181818181818,4.666666666666667,12.636363636363637,16.636363636363637,2
Cincinnati Bearcats,.455,.316,.647,14.352941176470589,21.5,12.205882352941176,7.0588235294117645,6.117647058823529,12.705882352941176,17.794117647058822,1
Colorado Buffaloes,.470,.344,.686,11.454545454545455,22.727272727272727,9.93939393939394,6.96969696969697,3.1818181818181817,13.303030303030303,15.909090909090908,1
Colorado State Rams,.491,.338,.715,14.085714285714285,22.97142857142857,12.714285714285714,4.628571428571429,2.1142857142857143,11.114285714285714,17.142857142857142,2
Creighton Bluejays,.557,.414,.759,8.333333333333334,24.22222222222222,16.916666666666668,4.833333333333333,2.5555555555555554,12.305555555555555,16.333333333333332,2
Davidson Wildcats,.519,.369,.795,9.0,21.823529411764707,13.911764705882353,5.5588235294117645,2.9705882352941178,10.911764705882353,17.676470588235293,1
Duke Blue Devils,.508,.399,.739,9.36111111111111,21.72222222222222,14.305555555555555,6.444444444444445,3.75,10.63888888888889,17.916666666666668,4
Florida Gators,.543,.378,.677,10.297297297297296,21.56756756756757,14.594594594594595,7.162162162162162,3.2432432432432434,10.837837837837839,14.0,4
Florida Gulf Coast Eagles,.524,.342,.675,11.135135135135135,22.0,14.135135135135135,8.945945945945946,3.7567567567567566,14.72972972972973,17.54054054054054,3
Georgetown Hoyas,.502,.353,.679,9.28125,20.6875,14.8125,7.5,3.84375,12.71875,17.375,1
Gonzaga Bulldogs,.555,.371,.705,11.685714285714285,22.457142857142856,15.142857142857142,7.914285714285715,2.742857142857143,11.228571428571428,15.742857142857142,2
