TEAM,POSTSEASON,YEAR
Michigan,Round_Of_2,1
Louisville,Round_Of_1,1
Ohio St.,Round_Of_8,1
Duke,Round_Of_8,1
Marquette,Round_Of_8,1
Florida,Round_Of_8,1
Syracuse,Round_Of_4,1
Wichita St.,Round_Of_4,1
Gonzaga,Round_Of_32,1
Saint Louis,Round_Of_32,1
VCU,Round_Of_32,1
Butler,Round_Of_32,1
Memphis,Round_Of_32,1
San Diego St.,Round_Of_32,1
Illinois,Round_Of_32,1
Creighton,Round_Of_32,1
Colorado St.,Round_Of_32,1
North Carolina,Round_Of_32,1
Temple,Round_Of_32,1
Iowa St.,Round_Of_32,1
Minnesota,Round_Of_32,1
California,Round_Of_32,1
Mississippi,Round_Of_32,1
Harvard,Round_Of_32,1
Georgetown,Round_Of_64,1
New Mexico,Round_Of_64,1
Kansas St.,Round_Of_64,1
Wisconsin,Round_Of_64,1
Oklahoma St.,Round_Of_64,1
UNLV,Round_Of_64,1
UCLA,Round_Of_64,1
Notre Dame,Round_Of_64,1
Pittsburgh,Round_Of_64,1
North Carolina St.,Round_Of_64,1
Villanova,Round_Of_64,1
Missouri,Round_Of_64,1
Oklahoma,Round_Of_64,1
Colorado,Round_Of_64,1
Cincinnati,Round_Of_64,1
Belmont,Round_Of_64,1
Bucknell,Round_Of_64,1
Saint Mary's,Round_Of_64,1
Akron,Round_Of_64,1
South Dakota St.,Round_Of_64,1
Montana,Round_Of_64,1
New Mexico St.,Round_Of_64,1
Northwestern St.,Round_Of_64,1
Davidson,Round_Of_64,1
Valparaiso,Round_Of_64,1
Pacific,Round_Of_64,1
Iona,Round_Of_64,1
Albany,Round_Of_64,1
Western Kentucky,Round_Of_64,1
North Carolina A&T,Round_Of_64,1
Southern,Round_Of_64,1
James Madison,Round_Of_64,1
Middle Tennessee,Round_Of_68,1
Boise St.,Round_Of_68,1
LIU Brooklyn,Round_Of_68,1
Liberty,Round_Of_68,1
Indiana,Round_Of_16,1
Kansas,Round_Of_16,1
Miami FL,Round_Of_16,1
Michigan St.,Round_Of_16,1
Arizona,Round_Of_16,1
Oregon,Round_Of_16,1
La Salle,Round_Of_16,1
Florida Gulf Coast,Round_Of_16,1
